用いる	から が が として として に は は も を を を を を を を 
研究する	が に を を 
指す	を 
代わる	に を 
行う	から が が が で で で に に に に に に に に は は は は は は は まで まで を を を を を を を を を を を を を を を を を を を をめぐって 
する	と と と と と と と と と と と と に に に は は は は は は は まで も も も を を を を を を を を を を 
述べる	と と と と に は は は は は も 
実現する	で を 
ある	か が が が が が が が が が が が が が が て で でも に に に に に において に対して は は は は は は は は も も も も も も 
模倣する	を を 
解析する	で を 
検出・	て を 
命名する	で に により 
使う	が でも によって のに は は も を を を を を 
呼ぶ	と と と と と と と と に は は も も を を 
出す	が が に に により を を 
持つ	から が が が が が に を を を を を 
なる	から が が が が が が が が が で で で と と と と と と と と と と に に に に に に に に に に にとって は は は は は は は は は は は 
困難視	が 
知る	も 
集める	が に は を を を を 
表現する	と として に に は を を 
超える	における を を を を 
浸透する	に 
行く	て 
導入する	は を を を 
破る	も 
到達する	が として に 
繰り返す	を 
基づく	に に に に に に 
関係する	と と 
統合する	を 
作る	も を 
なす	も 
生成する	に を を通して 
上回る	が で で を を を 
でる	が 
活躍する	で 
だす	が で を 
加える	に 
見せる	において を を 
広がる	が は 
始まる	から が に は も 
提唱する	が が が が が が が で と に に に は は も を 
製作する	は を 
もたらす	に は を 
出版する	を を 
発表する	が が て と と に は は は は は は も を を を を を を 
内在する	に 
題する	と 
築く	を 
出る	が に関して 
作り出す	で は を 
開発する	が が に は は は は を を を を を を を を 
可能に	が を を 
構築する	が て によって は を を を 
使用する	として は を を 
創立する	として を 
示す	が て で で に は は は は を を を を 
走行する	に を 
上げる	が で は も を を 
匹敵する	に に 
打つ	に を 
敗れる	が で に は 
スケジューリングする	において を 
省く	によって 
明らかに	は を 
発生する	は も 
啓蒙する	が に 
指摘する	が を 
適用する	から を 
適す	に 
開始する	が を 
付加する	に を 
規格化	に を 
含む	は は も も を 
分かる	が が が に 
完了する	が に 
見合う	に 
見出せる	が 
流行する	が が に は 
進む	から から が が として に は 
直面する	に 
激変する	を 
至る	に は は まで 
終焉する	は 
入る	が で に に に に に に は 
提案する	が が により 
立ち上がる	も 
生まれる	から によって 
挙げる	が が として は を 
費やす	として を 
進める	が も を 
異なる	が で も 
行える	が 
解釈する	で を 
実行する	て に 
見つかる	が で 
克服する	を 
学習する	から を 
分類する	て 
融合する	が を 
迎える	が で に を を 
合わせる	に 
増やす	に も を 
最適化	に に を を 
発売する	が を 
取得する	が に を 
発展する	に より 
意識する	は は は 
巻き込む	も 
言える	と も 
活かす	に を 
漕ぎ着ける	に に 
収集する	から で も 
マッチする	が という も 
関わる	が に も も も 
選ぶ	が で 
巻き起こす	て は を 
自動化	を 
突破する	を 
評価する	て で 
成功する	が で で に に も 
受ける	で と を を を を 
売る	の 
付与する	が は は は 
モデル化	で に を 
難しい	は は 
比較する	と と 
抑える	を 
できる	は を 
改善する	を 
与える	が が に に に は を 
無くなる	は 
搭載する	に に に に を を を 
去る	は 
実証する	が に は 
設計する	が 
利活用	を 
超越する	が で を 
担う	を 
変革する	を 
訪れる	が も 
扱う	に の は も を を を を を を 
整備する	が が 
前進する	が 
勝利する	で に に に 
果たす	が で に を 
優勝する	が で に 
挑む	で に に 
臨む	が 
解読する	を 
先立つ	に 
近づく	が により 
向ける	に に に 
続ける	を 
展開する	が で を 
進行する	が 
利用する	が で に は は は を を 
留まる	に 
登場する	が 
先行する	が 
行動する	に 
作成する	が に 
注目する	が が が は 
導き出す	を を 
解決する	を 
付ける	で に を 
受け止める	は 
立つ	が を 
*する	を 
組み合わせる	を 
動かす	で を 
学ぶ	に を 
考える	と と は 
再現する	を 
挑戦する	に 
いる	も も 
出現する	が が 
寄せる	が に を 
実用化	が に は 
解決できる	に を 
目立つ	が も 
進化する	に 
取る	が に対して を 
接続する	に を 
研究開発	を 
公表する	を 
予測する	が 
学習できる	により は 
含める	まで を 
よる	に に に に に に に に に に 
活用する	で を を 
寄与できる	で に 
分析する	と 
実装する	が を 
いう	と と 
識別する	を 
経る	を を を 
連携する	と 
処理する	を 
管理する	が 
達す	で に に は は 
始める	とも を 
再	から を 
推進する	で で は を を 
位置づける	から に を 
立ち上げる	も 
投じる	が に は 
リードする	が において も 
主張する	と と を 
占める	が 
独占する	が も を 
取り上げる	が は を 
握る	が で を 
招致する	は を 
支出する	で を 
宣言する	と 
開く	に を 
決定する	も 
設立する	を 
重要と	も 
否定する	と は は を 
於く	に 
起こす	に対して を 
鳴らす	に に に は を を を 
変わる	が は 
併せ持つ	を 
代表する	に に 
抑圧する	で を 
埋め込む	に 
監視する	から で を 
推し進める	が 
予防拘禁	に は 
選別する	で を 
犯す	で も を 
報じる	が 
送る	が に を 
恐れる	を 
起きる	が 
破壊する	が に は 
輸出する	に は を 
主導する	が も を通じて 
懸念する	から から が について 
拡散する	が で に に を 
決める	て を を 
固定化	を 
繋がる	に 
施行する	が は 
認める	を 
試みる	を 
破壊できる	により は を 
所有する	は を 
射殺する	て は を 
自動検知	を 
稼働する	を 
生む	は を 
変える	を 
一変する	を 
介す	から を 
勝ち残る	が に 
加速する	により は 
開催する	で に 
操る	により を を 
続く	に 
とらえる	と 
実用可能	に は 
求める	は を 
盛り込む	に は は も 
めぐる	を 
採択する	を 
更新する	を 
爆撃する	を 
進展する	が で に は 
追い付く	に 
備える	に 
協力する	が で に に に 
非難する	と を 
開放する	て に は は 
面談する	と 
限る	に 
釈明する	と 
暴露する	が に に は 
拒否する	は 
誓う	が 
攻撃する	て で に を 
販売する	も 
なりすます	たり で 
指導する	で を 
構成する	で に 
設置する	を 
支持する	を 
要請する	は を 
機能できる	に 
判明する	が 
吸収する	に を 
応じる	に 
見いだす	に を 
語る	で に を を を 
通じる	は も 
やる	に を 
促進する	を 
良い	を を通して 
貢献する	に 
報道する	は 
関連付ける	と 
盗用する	が を 
訴える	を 
発言する	と と に対し は 
征服する	は を 
不明瞭に	も 
言う	が と と において は は 
提起する	が 
実現できる	が によって 
「	と 
解明する	を 
関連する	に 
批判する	が は 
残す	も を 
過ぎる	に は 
賛同する	に 
ため息まじる	の 
思う	と は は 
伝える	が 
違う	が は は 
信用する	を 
見る	から が は も 
理解する	さえ 
創る	は 
伴う	に 
論じる	が で に 
記す	と は 
定義できる	が 
捉える	として を 
起こる	に は は 
存在する	が は 
生み出す	が によって 
記述する	で を 
書く	が について 
書店販売	に 
酷評する	によって は 
乱用する	も 
整理する	が 
言及する	について 
返す	と は 
定義する	に を 
大きい	は 
答える	で は 
つく	か が は 
